,set_size,trial_num,method_num,space
458,100.0,91.0,3.0,2580.75
459,100.0,91.0,4.0,2566.1015625
460,100,92,0,3200
461,100,92,1,1600
462,100.0,92.0,2.0,1662.5
463,100.0,92.0,3.0,2575.0
464,100.0,92.0,4.0,2555.46875
465,100,93,0,3200
466,100,93,1,1900
467,100.0,93.0,2.0,1679.75
468,100.0,93.0,3.0,2598.5
469,100.0,93.0,4.0,2569.203125
470,100,94,0,3200
471,100,94,1,1700
472,100.0,94.0,2.0,1651.625
473,100.0,94.0,3.0,2567.25
474,100.0,94.0,4.0,2542.8359375
475,100,95,0,3200
476,100,95,1,1900
477,100.0,95.0,2.0,1687.875
478,100.0,95.0,3.0,2609.75
479,100.0,95.0,4.0,2575.5703125
480,100,96,0,3200
481,100,96,1,1800
482,100.0,96.0,2.0,1645.625
483,100.0,96.0,3.0,2561.25
484,100.0,96.0,4.0,2536.8359375
485,100,97,0,3200
486,100,97,1,1600
487,100.0,97.0,2.0,1639.375
488,100.0,97.0,3.0,2548.75
489,100.0,97.0,4.0,2534.1015625
490,100,98,0,3200
491,100,98,1,1700
492,100.0,98.0,2.0,1650.5
493,100.0,98.0,3.0,2554.0
494,100.0,98.0,4.0,2534.46875
495,100,99,0,3200
496,100,99,1,1700
497,100.0,99.0,2.0,1638.5
498,100.0,99.0,3.0,2551.0
499,100.0,99.0,4.0,2531.46875
500,1000,0,0,32000
501,1000,0,1,19000
502,1000.0,0.0,2.0,16713.25
503,1000.0,0.0,3.0,25860.5
504,1000.0,0.0,4.0,25645.65625
505,1000,1,0,32000
506,1000,1,1,18000
507,1000.0,1.0,2.0,16723.0
508,1000.0,1.0,3.0,25839.0
509,1000.0,1.0,4.0,25667.125
510,1000,2,0,32000
511,1000,2,1,19000
512,1000.0,2.0,2.0,16785.25
513,1000.0,2.0,3.0,25932.5
514,1000.0,2.0,4.0,25717.65625
515,1000,3,0,32000
516,1000,3,1,18000
517,1000.0,3.0,2.0,16708.25
518,1000.0,3.0,3.0,25855.5
519,1000.0,3.0,4.0,25640.65625
520,1000,4,0,32000
521,1000,4,1,20000
