,set_size,trial_num,method_num,space
552,100,92,0,3200
553,100,92,1,2800
554,100,92,2,1900
555,100.0,92.0,3.0,1674.625
556,100.0,92.0,4.0,2590.25
557,100.0,92.0,5.0,2565.8359375
558,100,93,0,3200
559,100,93,1,2800
560,100,93,2,1600
561,100.0,93.0,3.0,1633.375
562,100.0,93.0,4.0,2542.75
563,100.0,93.0,5.0,2528.1015625
564,100,94,0,3200
565,100,94,1,2800
566,100,94,2,1700
567,100.0,94.0,3.0,1678.5
568,100.0,94.0,4.0,2582.0
569,100.0,94.0,5.0,2562.46875
570,100,95,0,3200
571,100,95,1,2800
572,100,95,2,1600
573,100.0,95.0,3.0,1647.5
574,100.0,95.0,4.0,2560.0
575,100.0,95.0,5.0,2540.46875
576,100,96,0,3200
577,100,96,1,2800
578,100,96,2,1700
579,100.0,96.0,3.0,1643.5
580,100.0,96.0,4.0,2556.0
581,100.0,96.0,5.0,2536.46875
582,100,97,0,3200
583,100,97,1,2800
584,100,97,2,1700
585,100.0,97.0,3.0,1654.625
586,100.0,97.0,4.0,2570.25
587,100.0,97.0,5.0,2545.8359375
588,100,98,0,3200
589,100,98,1,2800
590,100,98,2,2100
591,100.0,98.0,3.0,1742.0
592,100.0,98.0,4.0,2667.0
593,100.0,98.0,5.0,2627.9375
594,100,99,0,3200
595,100,99,1,2800
596,100,99,2,1500
597,100.0,99.0,3.0,1697.5
598,100.0,99.0,4.0,2610.0
599,100.0,99.0,5.0,2590.46875
600,100,100,0,3200
601,100,100,1,2800
602,100,100,2,1700
603,100.0,100.0,3.0,1699.5
604,100.0,100.0,4.0,2612.0
605,100.0,100.0,5.0,2592.46875
606,100,101,0,3200
607,100,101,1,2800
608,100,101,2,1800
609,100.0,101.0,3.0,1677.625
610,100.0,101.0,4.0,2593.25
611,100.0,101.0,5.0,2568.8359375
612,100,102,0,3200
613,100,102,1,2800
614,100,102,2,1400
615,100.0,102.0,3.0,1645.375
616,100.0,102.0,4.0,2554.75
617,100.0,102.0,5.0,2540.1015625
618,100,103,0,3200
619,100,103,1,2800
620,100,103,2,1600
621,100.0,103.0,3.0,1635.5
622,100.0,103.0,4.0,2548.0
623,100.0,103.0,5.0,2528.46875
624,100,104,0,3200
625,100,104,1,2800
626,100,104,2,1600
627,100.0,104.0,3.0,1658.5
628,100.0,104.0,4.0,2571.0
629,100.0,104.0,5.0,2551.46875
630,100,105,0,3200
631,100,105,1,2800
632,100,105,2,1800
633,100.0,105.0,3.0,1671.75
634,100.0,105.0,4.0,2590.5
