,trial_num,method_num,delim_size,space
256,85.0,1.0,0.0,35898.0
257,85.0,2.0,0.0,12898.0
258,86.0,0.0,0.0,19773.0
259,86.0,1.0,0.0,35773.0
260,86.0,2.0,0.0,12773.0
261,87.0,0.0,0.0,19859.0
262,87.0,1.0,0.0,35859.0
263,87.0,2.0,0.0,12859.0
264,88.0,0.0,0.0,19741.0
265,88.0,1.0,0.0,35741.0
266,88.0,2.0,0.0,12741.0
267,89.0,0.0,0.0,19780.0
268,89.0,1.0,0.0,35780.0
269,89.0,2.0,0.0,12780.0
270,90.0,0.0,0.0,19614.0
271,90.0,1.0,0.0,35614.0
272,90.0,2.0,0.0,12614.0
273,91.0,0.0,0.0,19777.0
274,91.0,1.0,0.0,35777.0
275,91.0,2.0,0.0,12777.0
276,92.0,0.0,0.0,19706.0
277,92.0,1.0,0.0,35706.0
278,92.0,2.0,0.0,12706.0
279,93.0,0.0,0.0,19721.0
280,93.0,1.0,0.0,35721.0
281,93.0,2.0,0.0,12721.0
282,94.0,0.0,0.0,19625.0
283,94.0,1.0,0.0,35625.0
284,94.0,2.0,0.0,12625.0
285,95.0,0.0,0.0,19820.0
286,95.0,1.0,0.0,35820.0
287,95.0,2.0,0.0,12820.0
288,96.0,0.0,0.0,19708.0
289,96.0,1.0,0.0,35708.0
290,96.0,2.0,0.0,12708.0
291,97.0,0.0,0.0,19776.0
292,97.0,1.0,0.0,35776.0
293,97.0,2.0,0.0,12776.0
294,98.0,0.0,0.0,19726.0
295,98.0,1.0,0.0,35726.0
296,98.0,2.0,0.0,12726.0
297,99.0,0.0,0.0,19805.0
298,99.0,1.0,0.0,35805.0
299,99.0,2.0,0.0,12805.0
300,100.0,0.0,0.0,19696.0
301,100.0,1.0,0.0,35696.0
302,100.0,2.0,0.0,12696.0
303,101.0,0.0,0.0,19755.0
304,101.0,1.0,0.0,35755.0
305,101.0,2.0,0.0,12755.0
306,102.0,0.0,0.0,19560.0
307,102.0,1.0,0.0,35560.0
308,102.0,2.0,0.0,12560.0
309,103.0,0.0,0.0,19813.0
310,103.0,1.0,0.0,35813.0
311,103.0,2.0,0.0,12813.0
312,104.0,0.0,0.0,19799.0
313,104.0,1.0,0.0,35799.0
314,104.0,2.0,0.0,12799.0
315,105.0,0.0,0.0,19808.0
316,105.0,1.0,0.0,35808.0
317,105.0,2.0,0.0,12808.0
318,106.0,0.0,0.0,19708.0
319,106.0,1.0,0.0,35708.0
320,106.0,2.0,0.0,12708.0
321,107.0,0.0,0.0,19813.0
322,107.0,1.0,0.0,35813.0
323,107.0,2.0,0.0,12813.0
324,108.0,0.0,0.0,19647.0
325,108.0,1.0,0.0,35647.0
326,108.0,2.0,0.0,12647.0
327,109.0,0.0,0.0,19899.0
328,109.0,1.0,0.0,35899.0
329,109.0,2.0,0.0,12899.0
330,110.0,0.0,0.0,19746.0
331,110.0,1.0,0.0,35746.0
332,110.0,2.0,0.0,12746.0
333,111.0,0.0,0.0,19726.0
334,111.0,1.0,0.0,35726.0
335,111.0,2.0,0.0,12726.0
336,112.0,0.0,0.0,19649.0
337,112.0,1.0,0.0,35649.0
338,112.0,2.0,0.0,12649.0
339,113.0,0.0,0.0,19791.0
340,113.0,1.0,0.0,35791.0
